Helység.megnevezése;IRSZ;Településrész;Helység.KSH.kódja;Helység.jogállása;Vármegye.megnevezése;Járás.kódja;Járás.neve;Járás.székhelye;Polgármesteri.hivatal..közös.önkormányzati.hivatal.kódja;Polgármesteri.hivatal..közös.önkormányzati.hivatal.székhelye;Terület...hektár.;Lakó.népesség;Lakások.száma;Becsült.terület.adatokkal;NemzetisegiOnkormanyzat_bolgár;NemzetisegiOnkormanyzat_görög;NemzetisegiOnkormanyzat_horvát;NemzetisegiOnkormanyzat_lengyel;NemzetisegiOnkormanyzat_német;NemzetisegiOnkormanyzat_örmény;NemzetisegiOnkormanyzat_roma;NemzetisegiOnkormanyzat_román;NemzetisegiOnkormanyzat_ruszin;NemzetisegiOnkormanyzat_szerb;NemzetisegiOnkormanyzat_szlovák;NemzetisegiOnkormanyzat_szlovén;NemzetisegiOnkormanyzat_ukrán
Sajósenye;3712;;08970;község;Borsod-Abaúj-Zemplén;061 0;Miskolci;Miskolc;5;Sajókeresztúr;847;403;144;;;;;;;;;;;;;;
Sajószentpéter;3770;;16054;város;Borsod-Abaúj-Zemplén;058 0;Kazincbarcikai;Kazincbarcika;1;–;3485;11185;4445;;;;;1;1;;1;;;;;;
Sajószöged;3599;;30340;község;Borsod-Abaúj-Zemplén;068 0;Tiszaújvárosi;Tiszaújváros;1;–;1362;2349;1009;;;;;;;;;;;;;;
Sajóvámos;3712;;20738;község;Borsod-Abaúj-Zemplén;061 0;Miskolci;Miskolc;2;[Helyben];3122;1996;785;;;;;;;;;;;;;;
Sajóvelezd;3656;;27757;község;Borsod-Abaúj-Zemplén;063 0;Putnoki;Putnok;5;Serényfalva;2302;671;297;;;;;;;;1;;;;;;
Sajtoskál;9632;;10579;község;Vas;179 0;Sárvári;Sárvár;5;Bő;941;366;167;;;;;;;;;;;;;;
Salföld;8256;;30793;község;Veszprém;189 0;Tapolcai;Tapolca;5;Kővágóörs;518;74;46;;;;;;;;;;;;;;
Salgótarján;3100;;25788;megyeszékhely, megyei jogú város;Nógrád;120 1;Salgótarjáni;Salgótarján;1;–;9300;30416;18041;;;;;;;;1;;;;1;;
Salgótarján;3102;Baglyasalja;25788;megyeszékhely, megyei jogú város;Nógrád;120 1;Salgótarjáni;Salgótarján;1;–;9300;30416;18041;;;;;;;;1;;;;1;;
Salgótarján;3104;Zagyvapálfalva;25788;megyeszékhely, megyei jogú város;Nógrád;120 1;Salgótarjáni;Salgótarján;1;–;9300;30416;18041;;;;;;;;1;;;;1;;
Salgótarján;3109;Salgóbánya;25788;megyeszékhely, megyei jogú város;Nógrád;120 1;Salgótarjáni;Salgótarján;1;–;9300;30416;18041;;;;;;;;1;;;;1;;
Salgótarján;3141;Zagyvaróna;25788;megyeszékhely, megyei jogú város;Nógrád;120 1;Salgótarjáni;Salgótarján;1;–;9300;30416;18041;;;;;;;;1;;;;1;;
Salköveskút;9742;;18883;község;Vas;181 0;Szombathelyi;Szombathely;5;Söpte;1320;445;196;;;;;;;;;;;;;;
Salomvár;8995;;27720;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Teskánd;1611;560;243;;;;;;;;;;;;;;
Sály;3425;;04729;község;Borsod-Abaúj-Zemplén;060 0;Mezőkövesdi;Mezőkövesd;5;Tibolddaróc;2557;1496;648;;;;;;;;1;;;;;;
Sámod;7841;;18050;község;Baranya;030 0;Sellyei;Sellye;5;Baksa;620;192;78;;;;;;;;1;;;;;;
Sámsonháza;3074;;24572;község;Nógrád;120 0;Salgótarjáni;Salgótarján;5;Lucfalva;1271;222;151;;;;;;;;1;;;;1;;
Sand;8824;;15556;község;Zala;196 0;Nagykanizsai;Nagykanizsa;5;Galambok;748;345;193;;;;;;;;;;;;;;
Sándorfalva;6762;;31705;város;Csongrád-Csanád;075 0;Szegedi;Szeged;2;[Helyben];5577;8196;3511;;;;;;;;;;;;;;
Sántos;7479;;31121;község;Somogy;143 0;Kaposvári;Kaposvár;5;Simonfa;1138;452;188;;;;;;;;;;;;;;
Sáp;4176;;26116;község;Hajdú-Bihar;102 0;Püspökladányi;Püspökladány;5;Tetétlen;1922;796;350;;;;;;;;1;;;;;;
Sáránd;4272;;25007;község;Hajdú-Bihar;096 0;Derecskei;Derecske;1;–;2268;2125;850;;;;;;;;1;;;;;;
Sárazsadány;3942;;20516;község;Borsod-Abaúj-Zemplén;064 0;Sárospataki;Sárospatak;5;Bodrogolaszi;1531;239;179;;;;;;;;;;;;;;
Sárbogárd;7000;;23694;város;Fejér;084 1;Sárbogárdi;Sárbogárd;1;–;18933;11396;5007;;;;;;;;1;;;;;;
Sárbogárd;7003;Sárszentmiklós;23694;város;Fejér;084 1;Sárbogárdi;Sárbogárd;1;–;18933;11396;5007;;;;;;;;1;;;;;;
Sárbogárd;7018;Pusztaegres;23694;város;Fejér;084 1;Sárbogárdi;Sárbogárd;1;–;18933;11396;5007;;;;;;;;1;;;;;;
Sárbogárd;7019;Sárhatvan;23694;város;Fejér;084 1;Sárbogárdi;Sárbogárd;1;–;18933;11396;5007;;;;;;;;1;;;;;;
Sáregres;7014;;02723;község;Fejér;084 0;Sárbogárdi;Sárbogárd;5;Mezőszilas;2616;665;332;;;;;;;;;;;;;;
Sárfimizdó;9813;;09788;község;Vas;182 0;Vasvári;Vasvár;5;Kám;746;86;58;;;;;;;;;;;;;;
Sárhida;8944;;08101;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Bocfölde;509;692;261;;;;;;;;;;;;;;
Sárisáp;2523;;26903;község;Komárom-Esztergom;110 0;Esztergomi;Esztergom;1;–;1422;2773;1111;;;;;;1;;;;;;1;;
Sarkad;5720;;28565;város;Békés;051 1;Sarkadi;Sarkad;1;–;12557;8988;4293;;;;;;;;1;1;;;;;
Sarkadkeresztúr;5731;;25168;község;Békés;051 0;Sarkadi;Sarkad;5;Zsadány;3530;1310;761;;;;;;;;;1;;;;;
Sárkeresztes;8051;;31802;község;Fejér;085 0;Székesfehérvári;Székesfehérvár;2;[Helyben];2327;1497;590;;;;;;;;;;;;;;
Sárkeresztúr;8125;;25344;község;Fejér;084 0;Sárbogárdi;Sárbogárd;1;–;4675;2488;716;;;;;;;;1;;;;;;
Sárkeszi;8144;;02699;község;Fejér;085 0;Székesfehérvári;Székesfehérvár;5;Úrhida;1479;518;213;;;;;;;;;;;;;;
Sármellék;8391;;14906;község;Zala;193 0;Keszthelyi;Keszthely;2;[Helyben];3537;1757;785;;1;;;;;;;;;;;;
Sárok;7781;;20862;község;Baranya;027 0;Mohácsi;Mohács;5;Nagynyárád;462;91;59;;;;;;1;;;;;;;;
Sárosd;2433;;25140;nagyközség;Fejér;085 0;Székesfehérvári;Székesfehérvár;1;–;4812;3084;1152;;;;;;;;1;;;;;;
Sárospatak;3950;;27474;város;Borsod-Abaúj-Zemplén;064 1;Sárospataki;Sárospatak;1;–;13909;10423;5291;;;;;;1;;1;;1;;;;
Sárpilis;7145;;04747;község;Tolna;173 0;Szekszárdi;Szekszárd;5;Bátaszék;2170;560;209;;;;;;;;1;;;;;;
Sárrétudvari;4171;;23940;nagyközség;Hajdú-Bihar;102 0;Püspökladányi;Püspökladány;1;–;5442;2621;1195;;;;;;;;1;;;;;;
Sarród;9434;Fertőújlak;30021;község;Győr-Moson-Sopron;091 0;Soproni;Sopron;5;Fertőszéplak;4006;1062;494;;;;;;;;;;;;;;
Sarród;9435;;30021;község;Győr-Moson-Sopron;091 0;Soproni;Sopron;5;Fertőszéplak;4006;1062;494;;;;;;;;;;;;;;
Sarród;9438;Nyárliget;30021;község;Győr-Moson-Sopron;091 0;Soproni;Sopron;5;Fertőszéplak;4006;1062;494;;;;;;;;;;;;;;
Sárszentágota;8126;;31538;község;Fejér;084 0;Sárbogárdi;Sárbogárd;5;Alap;4550;1291;509;;;;;;;;;;;;;;
Sárszentlőrinc;7047;;20817;község;Tolna;172 0;Paksi;Paks;5;Nagydorog;4669;938;475;;;;;;;;1;;;;;;
Sárszentmihály;8143;;11776;község;Fejér;085 0;Székesfehérvári;Székesfehérvár;1;–;3740;3004;1172;;;;;;;;;;;;;;
Sarud;3386;;07180;község;Heves;105 0;Füzesabonyi;Füzesabony;5;Poroszló;5162;949;599;;;;;;;;1;;;;;;
Sárvár;9608;Rábasömjén;21306;város;Vas;179 1;Sárvári;Sárvár;2;[Helyben];6465;13919;7036;;;;;;;;;;;;;;
Sárvár;9600;;21306;város;Vas;179 1;Sárvári;Sárvár;2;[Helyben];6465;13919;7036;;;;;;;;;;;;;;
Sárvár;9609;Lánkapuszta;21306;város;Vas;179 1;Sárvári;Sárvár;2;[Helyben];6465;13919;7036;;;;;;;;;;;;;;
Sásd;7370;;32160;város;Baranya;025 1;Hegyháti;Sásd;2;[Helyben];1488;2784;1350;;;;;;1;;1;;;;;;
Sáska;8308;;13772;község;Veszprém;189 0;Tapolcai;Tapolca;5;Monostorapáti;3746;240;129;;;;;;;;;;;;;;
Sáta;3659;;02875;község;Borsod-Abaúj-Zemplén;062 0;Ózdi;Ózd;5;Borsodbóta;1646;1013;478;;;;;;;;1;;;;;;
Sátoraljaújhely;3944;Károlyfalva;05120;város;Borsod-Abaúj-Zemplén;065 1;Sátoraljaújhelyi;Sátoraljaújhely;1;–;7345;12653;6548;;;;;;1;;1;;;;1;;
Sátoraljaújhely;3945;Rudabányácska;05120;város;Borsod-Abaúj-Zemplén;065 1;Sátoraljaújhelyi;Sátoraljaújhely;1;–;7345;12653;6548;;;;;;1;;1;;;;1;;
Sátoraljaújhely;3980;;05120;város;Borsod-Abaúj-Zemplén;065 1;Sátoraljaújhelyi;Sátoraljaújhely;1;–;7345;12653;6548;;;;;;1;;1;;;;1;;
Sátoraljaújhely;3988;Széphalom;05120;város;Borsod-Abaúj-Zemplén;065 1;Sátoraljaújhelyi;Sátoraljaújhely;1;–;7345;12653;6548;;;;;;1;;1;;;;1;;
Sátorhely;7785;;33482;község;Baranya;027 0;Mohácsi;Mohács;5;Nagynyárád;1760;582;244;;;;;;;;;;;;;;
Sávoly;8732;;02051;község;Somogy;144 0;Marcali;Marcali;5;Marcali;2684;423;223;;;;;;;;;;;;;;
Sé;9789;;10278;község;Vas;181 0;Szombathelyi;Szombathely;2;[Helyben];603;1314;506;;;;;;;;;;;;;;
Segesd;7562;;27368;község;Somogy;145 0;Nagyatádi;Nagyatád;2;[Helyben];7309;2181;860;;;;;;;;1;;;;;;
Selyeb;3809;;25380;község;Borsod-Abaúj-Zemplén;067 0;Szikszói;Szikszó;2;[Helyben];1664;570;163;;;;;;;;1;;;;;;
Sellye;7960;;28741;város;Baranya;030 1;Sellyei;Sellye;2;[Helyben];2518;2288;1105;;;;1;;;;1;;;;;;
Semjén;3974;;23755;község;Borsod-Abaúj-Zemplén;054 0;Cigándi;Cigánd;5;Ricse;784;503;163;;;;;;;;1;;;;;;
Semjénháza;8862;;30997;község;Zala;195 0;Letenyei;Letenye;2;[Helyben];470;519;217;;;;1;;;;;;;;;;
Sénye;8788;;14085;község;Zala;198 0;Zalaszentgróti;Zalaszentgrót;5;Óhíd;304;67;35;;;;;;;;;;;;;;
Sényő;4533;;04491;község;Szabolcs-Szatmár-Bereg;157 0;Nyíregyházi;Nyíregyháza;5;Nyírtura;1830;1430;510;;;;;;;;;;;;;;
Seregélyes;8111;;20206;nagyközség;Fejér;085 0;Székesfehérvári;Székesfehérvár;1;–;7819;4299;1690;;;;;;;;;;;;;;
Serényfalva;3729;;32531;község;Borsod-Abaúj-Zemplén;063 0;Putnoki;Putnok;2;[Helyben];1964;906;364;;;;;;;;1;;;;;;
Sérsekszőlős;8660;;32133;község;Somogy;147 0;Tabi;Tab;5;Tab;665;132;61;;;;;;;;;;;;;;
Sikátor;8439;;08606;község;Győr-Moson-Sopron;090 0;Pannonhalmi;Pannonhalma;5;Tápszentmiklós;1373;330;144;;;;;;;;;;;;;;
Siklós;7800;;05519;város;Baranya;031 1;Siklósi;Siklós;2;[Helyben];5092;8603;4092;;;;1;;1;;1;;;1;;;
Siklósbodony;7814;;23205;község;Baranya;031 0;Siklósi;Siklós;5;Diósviszló;433;146;46;;;;;;;;1;;;;;;
Siklósnagyfalu;7823;;08800;község;Baranya;031 0;Siklósi;Siklós;2;[Helyben];909;378;118;;;;;;;;1;;;;;;
Sima;3881;;23418;község;Borsod-Abaúj-Zemplén;057 0;Gönci;Gönc;5;Abaújszántó;488;27;28;;;;;;;;;;;;;;
Simaság;9633;;26763;község;Vas;179 0;Sárvári;Sárvár;5;Uraiújfalu;1013;508;237;;;;;;;;;;;;;;
Simonfa;7474;;32780;község;Somogy;143 0;Kaposvári;Kaposvár;2;[Helyben];1100;367;146;;;;;;;;;;;;;;
Simontornya;7081;;20783;város;Tolna;174 0;Tamási;Tamási;1;–;3383;3557;1844;;;;;;;;1;;;;;;
Sióagárd;7171;;25645;község;Tolna;173 0;Szekszárdi;Szekszárd;5;Őcsény;2440;1202;539;;;;;;1;;;;;;;;
Siófok;8600;;17631;város;Somogy;146 1;Siófoki;Siófok;2;[Helyben];12466;23806;16160;;;;;;1;;1;;;;;;
Siójut;8652;;23092;község;Somogy;146 0;Siófoki;Siófok;5;Siófok;1073;617;265;;;;;;;;;;;;;;
Sirok;3332;;08527;község;Heves;109 0;Pétervásárai;Pétervására;2;[Helyben];6339;1632;963;;;;;;;;1;;;;;;
Sitke;9671;;30748;község;Vas;179 0;Sárvári;Sárvár;5;Sárvár;2720;685;329;;;;;;;;;;;;;;
Sobor;9315;;24208;község;Győr-Moson-Sopron;086 0;Csornai;Csorna;5;Rábapordány;1670;280;143;;;;;;;;;;;;;;
Sokorópátka;9112;;12627;község;Győr-Moson-Sopron;087 0;Győri;Győr;5;Kajárpéc;1685;1113;485;;;;;;;;;;;;;;
Solt;6320;;29115;város;Bács-Kiskun;037 0;Kalocsai;Kalocsa;2;[Helyben];13267;5817;2913;;;;;;;;1;;;;;;
Soltszentimre;6223;;18218;község;Bács-Kiskun;039 0;Kiskőrösi;Kiskőrös;5;Páhi;4449;1298;638;;;;;;;;;;;;;;
Soltvadkert;6230;;19983;város;Bács-Kiskun;039 0;Kiskőrösi;Kiskőrös;1;–;10886;6865;3391;;;;;;1;;1;;;;;;
Sóly;8193;;03601;község;Veszprém;191 0;Veszprémi;Veszprém;5;Hajmáskér;1028;556;202;;;;;;;;;;;;;;
Solymár;2083;;07384;nagyközség;Pest;133 0;Pilisvörösvári;Pilisvörösvár;1;–;1786;10927;4071;;;;;;1;;;;;;;;
Som;8655;;04127;község;Somogy;146 0;Siófoki;Siófok;5;Ságvár;2335;662;265;;;;;;;;;;;;;;
Somberek;7728;;23472;község;Baranya;027 0;Mohácsi;Mohács;2;[Helyben];3142;1289;518;;;;;;1;;;;;;;;
Somlójenő;8478;;05157;község;Veszprém;186 0;Devecseri;Devecser;5;Somlóvásárhely;815;283;138;;;;;;;;1;;;;;;
Somlószőlős;8483;;25779;község;Veszprém;186 0;Devecseri;Devecser;5;Somlóvásárhely;1945;613;298;;;;;;;;1;;;;;;
Somlóvásárhely;8481;;26569;község;Veszprém;186 0;Devecseri;Devecser;2;[Helyben];2320;984;455;;;;;;;;1;;;;;;
Somlóvecse;8484;;14243;község;Veszprém;186 0;Devecseri;Devecser;5;Tüskevár;493;77;53;;;;;;;;;;;;;;
Somodor;7454;;13824;község;Somogy;143 0;Kaposvári;Kaposvár;5;Kaposmérő;1991;349;165;;;;;;;;;;;;;;
Somogyacsa;7283;;30580;község;Somogy;147 0;Tabi;Tab;5;Törökkoppány;2446;148;163;;;;;;;;;;;;;;
Somogyapáti;7922;;23807;község;Baranya;033 0;Szigetvári;Szigetvár;5;Nagypeterd;1070;470;198;;;;;;;;1;;;;;;
Somogyaracs;7584;;05500;község;Somogy;140 0;Barcsi;Barcs;5;Csokonyavisonta;770;178;64;;;;;;;;1;;;;;;
Somogyaszaló;7452;;31219;község;Somogy;143 0;Kaposvári;Kaposvár;5;Kaposmérő;2212;725;286;;;;;;;;;;;;;;
Somogybabod;8684;;32470;község;Somogy;142 0;Fonyódi;Fonyód;5;Látrány;1058;467;220;;;;;;;;;;;;;;
Somogybükkösd;8858;;25043;község;Somogy;141 0;Csurgói;Csurgó;5;Csurgó;1180;81;68;;;;;;;;;;;;;;
Somogycsicsó;8726;;11484;község;Somogy;141 0;Csurgói;Csurgó;5;Csurgó;1238;116;75;;;;;;;;;;;;;;
Somogydöröcske;7284;;15981;község;Somogy;147 0;Tabi;Tab;5;Törökkoppány;1083;134;92;;;;;;;;;;;;;;
Somogyegres;8666;;20057;község;Somogy;147 0;Tabi;Tab;5;Kapoly;1081;160;128;;;;;;;;;;;;;;
Somogyfajsz;8708;;18078;község;Somogy;143 0;Kaposvári;Kaposvár;5;Somogysárd;1826;492;215;;;;;;;;;;;;;;
Somogygeszti;7455;;20330;község;Somogy;143 0;Kaposvári;Kaposvár;5;Mernye;2171;399;192;;;;;;;;1;;;;;;
Somogyhárságy;7925;;29142;község;Baranya;033 0;Szigetvári;Szigetvár;5;Mozsgó;3097;340;211;;;;;;1;;1;;;;;;
Somogyhatvan;7921;;25070;község;Baranya;033 0;Szigetvári;Szigetvár;5;Nagypeterd;1352;304;124;;;;;;;;1;;;;;;
Somogyjád;7443;;28963;község;Somogy;143 0;Kaposvári;Kaposvár;2;[Helyben];2506;1430;562;;;;;;;;1;;;;;;
Somogymeggyes;8673;;12876;község;Somogy;147 0;Tabi;Tab;5;Kapoly;1565;433;229;;;;;;;;;;;;;;
Somogysámson;8733;;15626;község;Somogy;144 0;Marcali;Marcali;2;[Helyben];2177;688;276;;;;;;;;1;;;;;;
Somogysárd;7435;;28723;község;Somogy;143 0;Kaposvári;Kaposvár;2;[Helyben];3636;1175;489;;;;;;;;;;;;;;
Somogysimonyi;8737;;27535;község;Somogy;144 0;Marcali;Marcali;5;Somogysámson;1582;83;53;;;;;;;;;;;;;;
Somogyszentpál;8705;;06600;község;Somogy;144 0;Marcali;Marcali;5;Pusztakovácsi;2896;774;361;;;;;;;;;;;;;;
Somogyszil;7276;;03416;község;Somogy;143 0;Kaposvári;Kaposvár;5;Igal;3846;656;331;;;;;;;;;;;;;;
Somogyszob;7563;;18546;község;Somogy;145 0;Nagyatádi;Nagyatád;2;[Helyben];4008;1372;625;;;;;;;;1;;;;;;
Somogytúr;8683;;32601;község;Somogy;142 0;Fonyódi;Fonyód;5;Karád;3530;441;205;;;;;;;;;;;;;;
Somogyudvarhely;7515;;04853;község;Somogy;141 0;Csurgói;Csurgó;2;[Helyben];4042;914;435;;;;;;;;;;;;;;
Somogyvámos;8699;;21856;község;Somogy;142 0;Fonyódi;Fonyód;5;Öreglak;2502;706;331;;;;;;;;1;;;;;;
Somogyvár;8698;;19442;község;Somogy;142 0;Fonyódi;Fonyód;2;[Helyben];5299;1653;718;;;;;;;;1;;;;;;
Somogyviszló;7924;;21281;község;Baranya;033 0;Szigetvári;Szigetvár;5;Nagypeterd;1263;213;111;;;;;;;;;;;;;;
Somogyzsitfa;8734;;04835;község;Somogy;144 0;Marcali;Marcali;5;Somogysámson;2722;534;297;;;;;;;;;;;;;;
Somoskőújfalu;3121;;01526;község;Nógrád;120 0;Salgótarjáni;Salgótarján;2;[Helyben];1017;2040;1067;;;;;;;;1;;;;;;
Sonkád;4954;;23889;község;Szabolcs-Szatmár-Bereg;150 0;Fehérgyarmati;Fehérgyarmat;5;Kölcse;1981;608;236;;;;;;;;1;;;;;;
Soponya;8123;;33321;nagyközség;Fejér;085 0;Székesfehérvári;Székesfehérvár;5;Káloz;4996;1780;673;;;;;;;;;;;;;;
Sopron;9494;Balf;08518;megyei jogú város;Győr-Moson-Sopron;091 1;Soproni;Sopron;1;–;16904;60820;29825;;;1;1;;1;;;;;;;;
Sopron;9400;;08518;megyei jogú város;Győr-Moson-Sopron;091 1;Soproni;Sopron;1;–;16904;60820;29825;;;1;1;;1;;;;;;;;
Sopron;9407;Sopronkőhida;08518;megyei jogú város;Győr-Moson-Sopron;091 1;Soproni;Sopron;1;–;16904;60820;29825;;;1;1;;1;;;;;;;;
Sopron;9408;Brennbergbánya;08518;megyei jogú város;Győr-Moson-Sopron;091 1;Soproni;Sopron;1;–;16904;60820;29825;;;1;1;;1;;;;;;;;
Sopronhorpács;9463;;29090;község;Győr-Moson-Sopron;091 0;Soproni;Sopron;2;[Helyben];2069;877;319;;;;1;;;;;;;;;;
Sopronkövesd;9483;;25724;község;Győr-Moson-Sopron;091 0;Soproni;Sopron;2;[Helyben];2680;1468;571;;;;;;;;;;;;;;
Sopronnémeti;9325;;02617;község;Győr-Moson-Sopron;086 0;Csornai;Csorna;5;Farád;710;286;117;;;;;;;;;;;;;;
Sorkifalud;9774;;07171;község;Vas;181 0;Szombathelyi;Szombathely;2;[Helyben];1737;628;262;;;;;;;;;;;;;;
Sorkikápolna;9774;;27960;község;Vas;181 0;Szombathelyi;Szombathely;5;Sorkifalud;886;227;96;;;;;;;;;;;;;;
Sormás;8881;;06567;község;Zala;196 0;Nagykanizsai;Nagykanizsa;5;Újudvar;1637;736;319;;;;;;;;;;;;;;
Sorokpolány;9773;;29692;község;Vas;181 0;Szombathelyi;Szombathely;5;Sorkifalud;1329;751;288;;;;;;;;;;;;;;
Sóshartyán;3131;;14881;község;Nógrád;120 0;Salgótarjáni;Salgótarján;5;Etes;1214;896;300;;;;;;;;1;;;;;;
Sóskút;2038;;06840;község;Pest;127 0;Érdi;Érd;2;[Helyben];2489;3760;1468;;;;;;;;;;;;1;;
Sóstófalva;3716;;13268;község;Borsod-Abaúj-Zemplén;061 0;Miskolci;Miskolc;5;Hernádkak;728;233;100;;;;;;;;;;;;;;
Sósvertike;7960;;31714;község;Baranya;030 0;Sellyei;Sellye;5;Sellye;660;145;69;;;;1;;;;1;;;;;;
Sótony;9681;;22983;község;Vas;179 0;Sárvári;Sárvár;5;Nyőgér;1493;588;284;;;;;;;;;;;;;;
Söjtör;8897;;19080;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;2;[Helyben];3617;1429;613;;;;;;;;1;;;;;;
Söpte;9743;;24800;község;Vas;181 0;Szombathelyi;Szombathely;2;[Helyben];1278;784;280;;;;;;;;;;;;;;
Söréd;8072;;02893;község;Fejér;082 0;Móri;Mór;5;Magyaralmás;625;558;222;;;;;;;;;;;;;;
Sukoró;8096;;14951;község;Fejér;080 0;Gárdonyi;Gárdony;2;[Helyben];1627;2170;1038;;;;;;;;;;;;;;
Sumony;7960;;02547;község;Baranya;032 0;Szentlőrinci;Szentlőrinc;5;Királyegyháza;2021;396;154;;;;;;;;1;;;;;;
Súr;2889;;31990;község;Komárom-Esztergom;111 0;Kisbéri;Kisbér;5;Bakonyszombathely;3737;1224;500;;;;;;;;;;;;;;
Surd;8856;;02404;község;Zala;196 0;Nagykanizsai;Nagykanizsa;2;[Helyben];2194;529;236;;;;;;;;;;;;;;
Sükösd;6346;;21245;nagyközség;Bács-Kiskun;035 0;Bajai;Baja;1;–;9418;3334;1514;;;;;;;;1;;;;;;
Sülysáp;2241;;21713;város;Pest;131 0;Nagykátai;Nagykáta;1;–;4719;8525;3157;;;;;;;;1;;;;;;
Sümeg;8330;;25593;város;Veszprém;188 1;Sümegi;Sümeg;2;[Helyben];6413;5669;2648;;;;;;;;1;;;;;;
Sümegcsehi;8357;;21397;község;Zala;198 0;Zalaszentgróti;Zalaszentgrót;5;Óhíd;1743;519;262;;;;;;;;;;;;;;
Sümegprága;8351;;05388;község;Veszprém;188 0;Sümegi;Sümeg;5;Gógánfa;578;567;250;;;;;;;;;;;;;;
Süttő;2543;;08688;község;Komárom-Esztergom;110 0;Esztergomi;Esztergom;1;–;3446;2005;807;;;;;;1;;;;;;;;
Szabadbattyán;8151;;28705;nagyközség;Fejér;085 0;Székesfehérvári;Székesfehérvár;1;–;3366;4779;1785;;;;;;;;;;;;;;
Szabadegyháza;2432;;13259;község;Fejér;080 0;Gárdonyi;Gárdony;1;–;4164;1975;800;;;;;;;;;;;;;;
Szabadhídvég;8138;;18740;község;Fejér;079 0;Enyingi;Enying;5;Mezőszentgyörgy;4410;803;363;;;;;;;;;;;;;;
Szabadhídvég;8139;Pélpuszta;18740;község;Fejér;079 0;Enyingi;Enying;5;Mezőszentgyörgy;4410;803;363;;;;;;;;;;;;;;
Szabadi;7253;;14854;község;Somogy;143 0;Kaposvári;Kaposvár;5;Nagyberki;823;246;121;;;;;;;;;;;;;;
Szabadkígyós;5712;;31325;község;Békés;046 0;Békéscsabai;Békéscsaba;1;–;4556;2283;1086;;;;;;;;;;;;;;
Szabadszállás;6080;;25061;város;Bács-Kiskun;043 0;Kunszentmiklósi;Kunszentmiklós;1;–;16462;5853;3009;;;;;;;;1;;;;;;
Szabadszentkirály;7951;;15079;község;Baranya;032 0;Szentlőrinci;Szentlőrinc;5;Királyegyháza;1269;716;287;;;;;;;;1;;;;;;
Szabás;7544;;28574;község;Somogy;145 0;Nagyatádi;Nagyatád;5;Kutas;1811;556;182;;;;;;;;1;;;;;;
Szabolcs;4467;;19169;község;Szabolcs-Szatmár-Bereg;157 0;Nyíregyházi;Nyíregyháza;5;Rakamaz;588;318;186;;;;;;;;;;;;;;
Szabolcsbáka;4547;;22053;község;Szabolcs-Szatmár-Bereg;153 0;Kisvárdai;Kisvárda;5;Gyulaháza;1984;1096;433;;;;;;;;;;;;;;
Szabolcsveresmart;4496;;03586;község;Szabolcs-Szatmár-Bereg;153 0;Kisvárdai;Kisvárda;2;[Helyben];2295;1382;545;;;;;;;;1;;;;;;
Szada;2111;;21458;nagyközség;Pest;128 0;Gödöllői;Gödöllő;1;–;1671;6631;2242;;;;;;;;;;;;;;
Szágy;7383;;27508;község;Baranya;025 0;Hegyháti;Sásd;5;Mindszentgodisa;940;114;61;;;;;;1;;1;;;;;;
Szajk;7753;;08475;község;Baranya;024 0;Bólyi;Bóly;5;Bóly;1136;747;317;;;;1;;1;;;;;;;;
Szajla;3334;;16063;község;Heves;109 0;Pétervásárai;Pétervására;5;Sirok;870;580;327;;;;;;;;1;;;;;;
Szajol;5081;;05874;község;Jász-Nagykun-Szolnok;167 0;Szolnoki;Szolnok;1;–;3697;3679;1581;;;;;;;;;;;;;;
Szakácsi;3786;;32258;község;Borsod-Abaúj-Zemplén;055 0;Edelényi;Edelény;5;Szendrőlád;863;215;59;;;;;;;;1;;;;;;
Szakadát;7071;;15316;község;Tolna;174 0;Tamási;Tamási;5;Gyönk;1070;197;146;;;;;;1;;;;;;;;
Szakáld;3596;;03805;község;Borsod-Abaúj-Zemplén;068 0;Tiszaújvárosi;Tiszaújváros;5;Nemesbikk;1140;434;223;;;;;;;;;;;;;;
Szakály;7192;;04464;község;Tolna;174 0;Tamási;Tamási;5;Hőgyész;4102;1164;595;;;;;;;;1;;;;;;
Szakcs;7213;;10083;község;Tolna;171 0;Dombóvári;Dombóvár;5;Dombóvár;5579;696;441;;;;;;;;1;;;;;;
Szakmár;6336;;19530;község;Bács-Kiskun;037 0;Kalocsai;Kalocsa;2;[Helyben];7464;1069;591;;;;;;;;1;;;;;;
Szaknyér;9934;;16504;község;Vas;177 0;Körmendi;Körmend;5;Ivánc;293;43;44;;;;;;;;;;;;;;
Szakoly;4234;;04774;község;Szabolcs-Szatmár-Bereg;155 0;Nagykállói;Nagykálló;1;–;4145;2549;980;;;;;;;;1;;;;;;
Szakony;9474;;11369;község;Győr-Moson-Sopron;091 0;Soproni;Sopron;5;Sopronhorpács;1350;438;218;;;;;;;;;;;;;;
Szakonyfalu;9983;;20932;község;Vas;180 0;Szentgotthárdi;Szentgotthárd;5;Alsószölnök;1119;310;138;;;;;;;;;;;;;1;
Szákszend;2856;;33516;község;Komárom-Esztergom;113 0;Oroszlányi;Oroszlány;5;Oroszlány;3593;1461;628;;;;;;;;;;;;;;
